id,Journal,Category,JIF,Matched Journal*,Matched Category,Matched JIF,Notes,
115,Developmental Cognitive Neuroscience,"PSYCHOLOGY, DEVELOPMENTAL; NEUROSCIENCES",4.6,Journal of Youth and Adolescence,"PSYCHOLOGY, DEVELOPMENTAL",4.5,,
116,Developmental Science,"PSYCHOLOGY, DEVELOPMENTAL; PSYCHOLOGY, EXPERIMENTAL",3.2,New Directions for Child and Adolescent Development,"PSYCHOLOGY, DEVELOPMENTAL; SOCIOLOGY",2.9,,
117,Discourse Processes,"PSYCHOLOGY, EXPERIMENTAL; PSYCHOLOGY, EDUCATIONAL",1.7,Discourse & Society,"PSYCHOLOGY, MULTIDISCIPLINARY; SOCIOLOGY; COMMUNICATION",1.9,,
118,Emerging Adulthood,"FAMILY STUDIES; PSYCHOLOGY, DEVELOPMENTAL; PSYCHOLOGY, SOCIAL",1.7,Adolescents,"PSYCHOLOGY, DEVELOPMENTAL",1.7,,
119,European Journal of Personality,"PSYCHOLOGY, SOCIAL",4.8,Organizational Behavior and Human Decision Processes,"PSYCHOLOGY, SOCIAL; MANAGEMENT; PSYCHOLOGY, APPLIED",5,,
120,European Journal of Psychotraumatology,"PSYCHIATRY; PSYCHOLOGY, CLINICAL",4.2,Journal of Clinical Psychiatry ,"PSYCHIATRY; PSYCHOLOGY, CLINICAL",4.2,,
121,Evolution and Human Behavior,"SOCIAL SCIENCES, BIOMEDICAL; PSYCHOLOGY, BIOLOGICAL; BEHAVIORAL SCIENCES",2.9,Physiology & Behavior,"PSYCHOLOGY, BIOLOGICAL; BEHAVIORAL SCIENCES",2.7,,
122,Experimental Psychology,"PSYCHOLOGY, EXPERIMENTAL",1.3,Affective Science,"PSYCHOLOGY, EXPERIMENTAL; PSYCHOLOGY",2.8,, 
123,Frontiers in Psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",3.8,European Psychologist,"PSYCHOLOGY, MULTIDISCIPLINARY",4,,
124,Infant and Child Development,"PSYCHOLOGY, DEVELOPMENTAL",2.4,Early Childhood Research Quarterly,"EDUCATION & EDUCATIONAL RESEARCH; PSYCHOLOGY, DEVELOPMENTAL",2.6,,
125,International Journal of Eating Disorders,"PSYCHIATRY; NUTRITION & DIETETICS; PSYCHOLOGY; PSYCHOLOGY, CLINICAL",4.7,Journal of Eating Disorders,"NUTRITION & DIETETICS; PSYCHIATRY; PSYCHOLOGY, CLINICAL",5.7,,
126,International Journal of Psychophysiology,"PSYCHOLOGY; PSYCHOLOGY, EXPERIMENTAL; PHYSIOLOGY; NEUROSCIENCES; PSYCHOLOGY, BIOLOGICAL",3.3,Journal of the International Neuropsychological Society,PSYCHIATRY; CLINICAL NEUROLOGY; PSYCHOLOGY; NEUROSCIENCES,3,,
127,i-Perception,"PSYCHOLOGY, EXPERIMENTAL",1.1,Visual Cognition,"PSYCHOLOGY, EXPERIMENTAL",1.1,,
128,Journal of Cognitive Psychology,"PSYCHOLOGY, EXPERIMENTAL",1.5,Journal of Psycholinguistic Research,"LINGUISTICS; PSYCHOLOGY, EXPERIMENTAL",2,,
129,Journal of Experimental Social Psychology,"PSYCHOLOGY, SOCIAL",3.2,Group Processes & Intergroup Relations,"PSYCHOLOGY, SOCIAL",3,,
130,Journal of Neuropsychology,"PSYCHOLOGY; PSYCHOLOGY, EXPERIMENTAL",1.8,Cognitive Neuropsychology,"PSYCHOLOGY; PSYCHOLOGY, EXPERIMENTAL",1.8,,
131,Journal of Personality and Social Psychology,"PSYCHOLOGY, SOCIAL",6.8,Sex Roles,"PSYCHOLOGY, DEVELOPMENTAL; WOMENS STUDIES; PSYCHOLOGY, SOCIAL",3.7,,
132,Journal of Research in Personality,"PSYCHOLOGY, SOCIAL",3.4,Journal of Social Issues,"SOCIAL ISSUES; PSYCHOLOGY, SOCIAL",3.5,,
133,Journal of the American Academy of Child and Adolescent Psychiatry,"PSYCHIATRY; PSYCHOLOGY, DEVELOPMENTAL; PEDIATRICS",9.6,Journal of Child Psychology and Psychiatry,"PSYCHIATRY; PSYCHOLOGY; PSYCHOLOGY, DEVELOPMENTAL",6.6,,
134,Judgment and Decision Making,"PSYCHOLOGY, MULTIDISCIPLINARY",2.5,Behavioral Sciences,"PSYCHOLOGY, MULTIDISCIPLINARY",3.2,,
135,Law and Human Behavior,"LAW; PSYCHOLOGY, SOCIAL",3.2,Behavioural Public Policy,"PUBLIC ADMINISTRATION; PSYCHOLOGY, SOCIAL; PSYCHOLOGY, APPLIED",2.9,,
136,Legal and Criminological Psychology,"CRIMINOLOGY & PENOLOGY; LAW; PSYCHOLOGY, MULTIDISCIPLINARY",2,Psychiatry Psychology and Law,"PSYCHIATRY; CRIMINOLOGY & PENOLOGY; LAW; PSYCHOLOGY, MULTIDISCIPLINARY",1.6,,
137,Memory,"PSYCHOLOGY, EXPERIMENTAL",1.9,Thinking & Reasoning,"PSYCHOLOGY, EXPERIMENTAL",2,,
138,Nature Human Behaviour,"PSYCHOLOGY, EXPERIMENTAL; MULTIDISCIPLINARY SCIENCES; NEUROSCIENCES",17.5,Computers in Human Behavior,"PSYCHOLOGY, EXPERIMENTAL; PSYCHOLOGY, MULTIDISCIPLINARY",12.2,,
139,Neuroscience of Consciousness,"PSYCHOLOGY, BIOLOGICAL",3.8,Biological Psychology,"PSYCHOLOGY; PSYCHOLOGY, EXPERIMENTAL; PSYCHOLOGY, BIOLOGICAL; BEHAVIORAL SCIENCES",3.3,,
140,Psychological Science,"PSYCHOLOGY, MULTIDISCIPLINARY",5.4,BMC Psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",4.6,,
141,Psychology & Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; PSYCHOLOGY, MULTIDISCIPLINARY",2,Asian Journal of Social Health and Behavior,"PSYCHIATRY; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; PSYCHOLOGY, MULTIDISCIPLINARY",1.7,,
142,Psychology of Addictive Behaviors,"PSYCHOLOGY, MULTIDISCIPLINARY; SUBSTANCE ABUSE",2.8,Journal of Gambling Studies,"PSYCHOLOGY, MULTIDISCIPLINARY; SUBSTANCE ABUSE",2.4,,
143,Psychology of Sport and Exercise,"PSYCHOLOGY; HOSPITALITY, LEISURE, SPORT & TOURISM; SPORT SCIENCES; PSYCHOLOGY, APPLIED",3.9,Journal of Applied Sports Psychology,"PSYCHOLOGY; HOSPITALITY, LEISURE, SPORT & TOURISM; SPORT SCIENCES; PSYCHOLOGY, APPLIED",3.6,,
144,Psychonomic Bulletin & Review,"PSYCHOLOGY, MATHEMATICAL; PSYCHOLOGY, EXPERIMENTAL",3.1,Psychometrika,"PSYCHOLOGY, MATHEMATICAL; MATHEMATICS, INTERDISCIPLINARY APPLICATIONS; SOCIAL SCIENCES, MATHEMATICAL METHODS",2.9,,
145,Psychophysiology,"PSYCHOLOGY; PSYCHOLOGY, EXPERIMENTAL; PHYSIOLOGY; NEUROSCIENCES; PSYCHOLOGY, BIOLOGICAL",3.2,Experimental and Clinical Psychopharmacology,"PSYCHIATRY; PHARMACOLOGY & PHARMACY; PSYCHOLOGY, CLINICAL; PSYCHOLOGY, BIOLOGICAL",1.6,,
146,Quarterly Journal of Experimental Psychology,"PSYCHOLOGY; PSYCHOLOGY, EXPERIMENTAL; PHYSIOLOGY",1.8,Cognitive Processing ,"PSYCHOLOGY, EXPERIMENTAL",1.5,,
147,Stress and Health,"PSYCHIATRY; PSYCHOLOGY; PSYCHOLOGY, APPLIED",2.9,Applied Psychology-Health and Well Being,"PSYCHOLOGY, APPLIED",3.3,,
,,,,,,,,
,,,,"*As of July 2026, these journals do not seem to publish registered reports from the looks of their submissions guidelines page",,,,
